Station Name_Cornwall,Station Code_Cornwall,Date_Cornwall,Time_Cornwall,DateTime,Water Level (meters) - Niveau d'eau (mètres)_Cornwall,"Discharge (cubic meters per second) - Débit (mètres cubes par seconde), Q",Station Name_LSD,Station Code_LSD,Date_LSD,Time_LSD,Water Level (meters) - Niveau d'eau (mètres)_LSD,hydraulic_head_cornwall,hydraulic_head_LSD,"hydraulic_head, h",overflow,Power (Watts),"hour, Hourly",seconds,Energy (Joules)
Cornwall,14870,2024-01-01,00:00,2024-01-01 00:00:00,0.41,261000.0,Long Sault Dam,14805,2024-01-01,00:00,0.38,72.88,46.78,26.099999999999994,1.0999999999999943,66693047597.999985,1,3600,240094971352799.94
Cornwall,14870,2024-01-01,01:00,2024-01-01 01:00:00,0.412,261000.0,Long Sault Dam,14805,2024-01-01,01:00,0.38,72.88,46.78,26.099999999999994,1.0999999999999943,66693047597.999985,2,7200,480189942705599.9
Cornwall,14870,2024-01-01,02:00,2024-01-01 02:00:00,0.411,261000.0,Long Sault Dam,14805,2024-01-01,02:00,0.37,72.87,46.769999999999996,26.10000000000001,1.1000000000000085,66693047598.00002,3,10800,720284914058400.2
Cornwall,14870,2024-01-01,03:00,2024-01-01 03:00:00,0.414,261000.0,Long Sault Dam,14805,2024-01-01,03:00,0.37,72.87,46.769999999999996,26.10000000000001,1.1000000000000085,66693047598.00002,4,14400,960379885411200.4
Cornwall,14870,2024-01-01,04:00,2024-01-01 04:00:00,0.416,261000.0,Long Sault Dam,14805,2024-01-01,04:00,0.37,72.87,46.769999999999996,26.10000000000001,1.1000000000000085,66693047598.00002,5,18000,1200474856764000.5
Cornwall,14870,2024-01-01,05:00,2024-01-01 05:00:00,0.417,261000.0,Long Sault Dam,14805,2024-01-01,05:00,0.37,72.87,46.769999999999996,26.10000000000001,1.1000000000000085,66693047598.00002,6,21600,1440569828116800.5
Cornwall,14870,2024-01-01,06:00,2024-01-01 06:00:00,0.419,261000.0,Long Sault Dam,14805,2024-01-01,06:00,0.37,72.87,46.769999999999996,26.10000000000001,1.1000000000000085,66693047598.00002,7,25200,1680664799469600.5
Cornwall,14870,2024-01-01,07:00,2024-01-01 07:00:00,0.417,261000.0,Long Sault Dam,14805,2024-01-01,07:00,0.37,72.87,46.769999999999996,26.10000000000001,1.1000000000000085,66693047598.00002,8,28800,1920759770822400.8
Cornwall,14870,2024-01-01,08:00,2024-01-01 08:00:00,0.427,261000.0,Long Sault Dam,14805,2024-01-01,08:00,0.36,72.86,46.76,26.1,1.1000000000000014,66693047598.0,9,32400,2160854742175200.0
Cornwall,14870,2024-01-01,09:00,2024-01-01 09:00:00,0.425,261000.0,Long Sault Dam,14805,2024-01-01,09:00,0.35,72.85,46.75,26.099999999999994,1.0999999999999943,66693047597.999985,10,36000,2400949713527999.5
Cornwall,14870,2024-01-01,10:00,2024-01-01 10:00:00,0.421,261000.0,Long Sault Dam,14805,2024-01-01,10:00,0.36,72.86,46.76,26.1,1.1000000000000014,66693047598.0,11,39600,2641044684880800.0
Cornwall,14870,2024-01-01,11:00,2024-01-01 11:00:00,0.418,261000.0,Long Sault Dam,14805,2024-01-01,11:00,0.35,72.85,46.75,26.099999999999994,1.0999999999999943,66693047597.999985,12,43200,2881139656233599.5
Cornwall,14870,2024-01-01,12:00,2024-01-01 12:00:00,0.414,261000.0,Long Sault Dam,14805,2024-01-01,12:00,0.36,72.86,46.76,26.1,1.1000000000000014,66693047598.0,13,46800,3121234627586400.0
Cornwall,14870,2024-01-01,13:00,2024-01-01 13:00:00,0.408,261000.0,Long Sault Dam,14805,2024-01-01,13:00,0.36,72.86,46.76,26.1,1.1000000000000014,66693047598.0,14,50400,3361329598939200.0
Cornwall,14870,2024-01-01,14:00,2024-01-01 14:00:00,0.404,261000.0,Long Sault Dam,14805,2024-01-01,14:00,0.36,72.86,46.76,26.1,1.1000000000000014,66693047598.0,15,54000,3601424570292000.0
Cornwall,14870,2024-01-01,15:00,2024-01-01 15:00:00,0.405,261000.0,Long Sault Dam,14805,2024-01-01,15:00,0.37,72.87,46.769999999999996,26.10000000000001,1.1000000000000085,66693047598.00002,16,57600,3841519541644801.5
Cornwall,14870,2024-01-01,16:00,2024-01-01 16:00:00,0.403,261000.0,Long Sault Dam,14805,2024-01-01,16:00,0.36,72.86,46.76,26.1,1.1000000000000014,66693047598.0,17,61200,4081614512997600.0
Cornwall,14870,2024-01-01,17:00,2024-01-01 17:00:00,0.399,261000.0,Long Sault Dam,14805,2024-01-01,17:00,0.37,72.87,46.769999999999996,26.10000000000001,1.1000000000000085,66693047598.00002,18,64800,4321709484350401.5
Cornwall,14870,2024-01-01,18:00,2024-01-01 18:00:00,0.398,261000.0,Long Sault Dam,14805,2024-01-01,18:00,0.38,72.88,46.78,26.099999999999994,1.0999999999999943,66693047597.999985,19,68400,4561804455703199.0
Cornwall,14870,2024-01-01,19:00,2024-01-01 19:00:00,0.393,261000.0,Long Sault Dam,14805,2024-01-01,19:00,0.38,72.88,46.78,26.099999999999994,1.0999999999999943,66693047597.999985,20,72000,4801899427055999.0
Cornwall,14870,2024-01-01,20:00,2024-01-01 20:00:00,0.389,261000.0,Long Sault Dam,14805,2024-01-01,20:00,0.38,72.88,46.78,26.099999999999994,1.0999999999999943,66693047597.999985,21,75600,5041994398408799.0
Cornwall,14870,2024-01-01,21:00,2024-01-01 21:00:00,0.385,261000.0,Long Sault Dam,14805,2024-01-01,21:00,0.38,72.88,46.78,26.099999999999994,1.0999999999999943,66693047597.999985,22,79200,5282089369761599.0
Cornwall,14870,2024-01-01,22:00,2024-01-01 22:00:00,0.387,261000.0,Long Sault Dam,14805,2024-01-01,22:00,0.39,72.89,46.79,26.1,1.1000000000000014,66693047598.0,23,82800,5522184341114400.0
Cornwall,14870,2024-01-01,23:00,2024-01-01 23:00:00,0.382,261000.0,Long Sault Dam,14805,2024-01-01,23:00,0.39,72.89,46.79,26.1,1.1000000000000014,66693047598.0,24,86400,5762279312467200.0
