date,revenue_daily_$
2024-01-01,222140423.57621852
2024-01-02,223911379.5188634
2024-01-03,223962927.36749157
2024-01-04,223350171.57741675
2024-01-05,222666864.25308213
2024-01-06,156312747.16710913
2024-01-07,155272797.22141656
2024-01-08,222639343.19140035
2024-01-09,221451116.25666243
2024-01-10,224359085.39192498
2024-01-11,225584031.4405643
2024-01-12,223493453.1229709
2024-01-13,157660316.374176
2024-01-14,162473144.8220068
2024-01-15,229111963.3093792
2024-01-16,227475435.2464757
2024-01-17,227261831.7119112
2024-01-18,213496637.98715785
2024-01-19,207955690.6960656
2024-01-20,147310228.96511042
2024-01-21,147496286.9130912
2024-01-22,215621808.2921612
2024-01-23,225549733.8400906
2024-01-24,226935946.5875228
2024-01-25,227236884.34532386
2024-01-26,226853601.98250133
2024-01-27,161262955.4998493
2024-01-28,161475605.76469395
2024-01-29,229299784.0544405
2024-01-30,228907005.79645804
2024-01-31,229777791.9172517
2024-02-01,231351969.57309076
2024-02-02,230471672.09812704
2024-02-03,166011456.177567
2024-02-04,166055255.40057305
2024-02-05,235106666.27241752
2024-02-06,235312622.76634276
2024-02-07,235102487.73823354
2024-02-08,235054022.66487902
2024-02-09,235245621.38051704
2024-02-10,167065576.34723714
2024-02-11,167274511.59364846
2024-02-12,236760253.65148464
2024-02-13,236416862.3779894
2024-02-14,237076088.4514937
2024-02-15,236263772.359813
2024-02-16,236853466.84126517
2024-02-17,165808950.25412092
2024-02-18,166985388.74894688
2024-02-19,236801215.05452463
2024-02-20,236250335.38634554
2024-02-21,234570434.97079444
2024-02-22,234984944.77861682
2024-02-23,235316515.06897703
2024-02-24,164146922.77447298
2024-02-25,164651382.3642912
2024-02-26,233753568.97623557
2024-02-27,233105302.9590106
2024-02-28,234201054.03706658
2024-02-29,235975711.41888767
2024-03-01,234008128.88158464
2024-03-02,164658167.6458925
2024-03-03,164046046.39971665
2024-03-04,234189687.91498634
2024-03-05,233933620.86874965
2024-03-06,233385418.9380332
2024-03-07,232187422.94674292
2024-03-08,232325041.39384177
2024-03-09,163956934.88963714
2024-03-10,164607674.289723
2024-03-11,236407187.43635994
2024-03-12,234894295.1802586
2024-03-13,233429419.9897229
2024-03-14,233597685.9192912
2024-03-15,233035064.10990724
2024-03-16,167047569.25375682
2024-03-17,167574806.35845268
2024-03-18,239113340.86017606
2024-03-19,238187753.5572706
2024-03-20,238774945.85256386
2024-03-21,239206554.0499565
2024-03-22,237612477.79922113
2024-03-23,165696749.40556082
2024-03-24,166763814.572313
2024-03-25,235671030.46593973
2024-03-26,234879392.1561284
2024-03-27,236211280.51295486
2024-03-28,237634520.4090144
2024-03-29,237670608.13151923
2024-03-30,165413353.56112477
2024-03-31,165435093.90272593
2024-04-01,234438355.48013246
2024-04-02,231912461.3482404
2024-04-03,230109734.2616327
2024-04-04,228193181.7597596
2024-04-05,232683914.7239116
2024-04-06,165559729.3171164
2024-04-07,165795805.6899329
2024-04-08,221171569.06934664
2024-04-09,228054164.81562003
2024-04-10,234835896.1509814
2024-04-11,234871077.97941518
2024-04-12,235744939.3368899
2024-04-13,168209673.45741722
2024-04-14,167387875.30438346
2024-04-15,237208186.8571698
2024-04-16,237518602.44687977
2024-04-17,235513983.9789785
2024-04-18,235874921.55192903
2024-04-19,238090341.60638103
2024-04-20,175389389.84897572
2024-04-21,175553506.92879218
2024-04-22,247876499.60290983
2024-04-23,247934893.67825472
2024-04-24,246533368.8841967
2024-04-25,246097719.7466206
2024-04-26,246064091.59275052
2024-04-27,174008485.25956228
2024-04-28,174590146.61673984
2024-04-29,246294972.75916228
2024-04-30,245097191.35342082
2024-05-01,246663943.82842177
2024-05-02,247821813.37944004
2024-05-03,246523567.71519795
2024-05-04,172763842.78737363
2024-05-05,173188776.80439723
2024-05-06,246108725.9253801
2024-05-07,245901116.75656864
2024-05-08,244909559.4060474
2024-05-09,245137780.212921
2024-05-10,244656943.37085694
2024-05-11,171807785.8638322
2024-05-12,171944906.69528678
2024-05-13,244245446.18044508
2024-05-14,244080477.2690359
2024-05-15,243491445.07741964
2024-05-16,243595303.92500654
2024-05-17,243910413.08163077
2024-05-18,170780973.76612696
2024-05-19,171516713.40201893
2024-05-20,243533966.29359156
2024-05-21,243231707.12820193
2024-05-22,242960289.83327666
2024-05-23,244006688.15401393
2024-05-24,243795189.60010138
2024-05-25,170912811.8260181
2024-05-26,170669625.87505323
2024-05-27,242053959.9239102
2024-05-28,244166463.86604625
