Station Name,Station Code,Date,Time,DateTime,Water Level (meters) - Niveau d'eau (mètres),Discharge (cubic meters per second) - Débit (mètres cubes par seconde)
Cornwall,14870,2024-01-01,00:00,2024-01-01 00:00:00,0.41,261000.0
Cornwall,14870,2024-01-01,01:00,2024-01-01 01:00:00,0.412,261000.0
Cornwall,14870,2024-01-01,02:00,2024-01-01 02:00:00,0.411,261000.0
Cornwall,14870,2024-01-01,03:00,2024-01-01 03:00:00,0.414,261000.0
Cornwall,14870,2024-01-01,04:00,2024-01-01 04:00:00,0.416,261000.0
Cornwall,14870,2024-01-01,05:00,2024-01-01 05:00:00,0.417,261000.0
Cornwall,14870,2024-01-01,06:00,2024-01-01 06:00:00,0.419,261000.0
Cornwall,14870,2024-01-01,07:00,2024-01-01 07:00:00,0.417,261000.0
Cornwall,14870,2024-01-01,08:00,2024-01-01 08:00:00,0.427,261000.0
Cornwall,14870,2024-01-01,09:00,2024-01-01 09:00:00,0.425,261000.0
Cornwall,14870,2024-01-01,10:00,2024-01-01 10:00:00,0.421,261000.0
Cornwall,14870,2024-01-01,11:00,2024-01-01 11:00:00,0.418,261000.0
Cornwall,14870,2024-01-01,12:00,2024-01-01 12:00:00,0.414,261000.0
Cornwall,14870,2024-01-01,13:00,2024-01-01 13:00:00,0.408,261000.0
Cornwall,14870,2024-01-01,14:00,2024-01-01 14:00:00,0.404,261000.0
Cornwall,14870,2024-01-01,15:00,2024-01-01 15:00:00,0.405,261000.0
Cornwall,14870,2024-01-01,16:00,2024-01-01 16:00:00,0.403,261000.0
Cornwall,14870,2024-01-01,17:00,2024-01-01 17:00:00,0.399,261000.0
Cornwall,14870,2024-01-01,18:00,2024-01-01 18:00:00,0.398,261000.0
Cornwall,14870,2024-01-01,19:00,2024-01-01 19:00:00,0.393,261000.0
Cornwall,14870,2024-01-01,20:00,2024-01-01 20:00:00,0.389,261000.0
Cornwall,14870,2024-01-01,21:00,2024-01-01 21:00:00,0.385,261000.0
Cornwall,14870,2024-01-01,22:00,2024-01-01 22:00:00,0.387,261000.0
Cornwall,14870,2024-01-01,23:00,2024-01-01 23:00:00,0.382,261000.0
Cornwall,14870,2024-01-02,00:00,2024-01-02 00:00:00,0.38,261000.0
Cornwall,14870,2024-01-02,01:00,2024-01-02 01:00:00,0.376,261000.0
Cornwall,14870,2024-01-02,02:00,2024-01-02 02:00:00,0.38,261000.0
Cornwall,14870,2024-01-02,03:00,2024-01-02 03:00:00,0.374,261000.0
Cornwall,14870,2024-01-02,04:00,2024-01-02 04:00:00,0.369,261000.0
Cornwall,14870,2024-01-02,05:00,2024-01-02 05:00:00,0.37,261000.0
Cornwall,14870,2024-01-02,06:00,2024-01-02 06:00:00,0.376,261000.0
Cornwall,14870,2024-01-02,07:00,2024-01-02 07:00:00,0.38,261000.0
Cornwall,14870,2024-01-02,08:00,2024-01-02 08:00:00,0.382,261000.0
Cornwall,14870,2024-01-02,09:00,2024-01-02 09:00:00,0.375,261000.0
Cornwall,14870,2024-01-02,10:00,2024-01-02 10:00:00,0.363,261000.0
Cornwall,14870,2024-01-02,11:00,2024-01-02 11:00:00,0.363,261000.0
Cornwall,14870,2024-01-02,12:00,2024-01-02 12:00:00,0.375,261000.0
Cornwall,14870,2024-01-02,13:00,2024-01-02 13:00:00,0.372,261000.0
Cornwall,14870,2024-01-02,14:00,2024-01-02 14:00:00,0.367,261000.0
Cornwall,14870,2024-01-02,15:00,2024-01-02 15:00:00,0.362,261000.0
Cornwall,14870,2024-01-02,16:00,2024-01-02 16:00:00,0.362,261000.0
Cornwall,14870,2024-01-02,17:00,2024-01-02 17:00:00,0.363,261000.0
Cornwall,14870,2024-01-02,18:00,2024-01-02 18:00:00,0.356,261000.0
Cornwall,14870,2024-01-02,19:00,2024-01-02 19:00:00,0.35,261000.0
Cornwall,14870,2024-01-02,20:00,2024-01-02 20:00:00,0.356,261000.0
Cornwall,14870,2024-01-02,21:00,2024-01-02 21:00:00,0.371,261000.0
Cornwall,14870,2024-01-02,22:00,2024-01-02 22:00:00,0.377,261000.0
Cornwall,14870,2024-01-02,23:00,2024-01-02 23:00:00,0.368,261000.0
Cornwall,14870,2024-01-03,00:00,2024-01-03 00:00:00,0.369,261000.0
Cornwall,14870,2024-01-03,01:00,2024-01-03 01:00:00,0.371,261000.0
Cornwall,14870,2024-01-03,02:00,2024-01-03 02:00:00,0.375,261000.0
Cornwall,14870,2024-01-03,03:00,2024-01-03 03:00:00,0.377,261000.0
Cornwall,14870,2024-01-03,04:00,2024-01-03 04:00:00,0.374,261000.0
Cornwall,14870,2024-01-03,05:00,2024-01-03 05:00:00,0.375,261000.0
Cornwall,14870,2024-01-03,06:00,2024-01-03 06:00:00,0.391,261000.0
Cornwall,14870,2024-01-03,07:00,2024-01-03 07:00:00,0.4,261000.0
Cornwall,14870,2024-01-03,08:00,2024-01-03 08:00:00,0.404,261000.0
Cornwall,14870,2024-01-03,09:00,2024-01-03 09:00:00,0.406,261000.0
Cornwall,14870,2024-01-03,10:00,2024-01-03 10:00:00,0.404,261000.0
Cornwall,14870,2024-01-03,11:00,2024-01-03 11:00:00,0.399,261000.0
Cornwall,14870,2024-01-03,12:00,2024-01-03 12:00:00,0.395,261000.0
Cornwall,14870,2024-01-03,13:00,2024-01-03 13:00:00,0.399,261000.0
Cornwall,14870,2024-01-03,14:00,2024-01-03 14:00:00,0.401,261000.0
Cornwall,14870,2024-01-03,15:00,2024-01-03 15:00:00,0.415,261000.0
Cornwall,14870,2024-01-03,16:00,2024-01-03 16:00:00,0.427,261000.0
Cornwall,14870,2024-01-03,17:00,2024-01-03 17:00:00,0.433,261000.0
Cornwall,14870,2024-01-03,18:00,2024-01-03 18:00:00,0.434,261000.0
Cornwall,14870,2024-01-03,19:00,2024-01-03 19:00:00,0.438,261000.0
Cornwall,14870,2024-01-03,20:00,2024-01-03 20:00:00,0.434,261000.0
Cornwall,14870,2024-01-03,21:00,2024-01-03 21:00:00,0.434,261000.0
Cornwall,14870,2024-01-03,22:00,2024-01-03 22:00:00,0.44,261000.0
Cornwall,14870,2024-01-03,23:00,2024-01-03 23:00:00,0.436,261000.0
Cornwall,14870,2024-01-04,00:00,2024-01-04 00:00:00,0.432,261000.0
Cornwall,14870,2024-01-04,01:00,2024-01-04 01:00:00,0.411,261000.0
Cornwall,14870,2024-01-04,02:00,2024-01-04 02:00:00,0.404,261000.0
Cornwall,14870,2024-01-04,03:00,2024-01-04 03:00:00,0.399,261000.0
Cornwall,14870,2024-01-04,04:00,2024-01-04 04:00:00,0.394,261000.0
Cornwall,14870,2024-01-04,05:00,2024-01-04 05:00:00,0.387,261000.0
Cornwall,14870,2024-01-04,06:00,2024-01-04 06:00:00,0.39,261000.0
Cornwall,14870,2024-01-04,07:00,2024-01-04 07:00:00,0.4,261000.0
Cornwall,14870,2024-01-04,08:00,2024-01-04 08:00:00,0.411,261000.0
Cornwall,14870,2024-01-04,09:00,2024-01-04 09:00:00,0.424,261000.0
Cornwall,14870,2024-01-04,10:00,2024-01-04 10:00:00,0.423,261000.0
Cornwall,14870,2024-01-04,11:00,2024-01-04 11:00:00,0.43,261000.0
Cornwall,14870,2024-01-04,12:00,2024-01-04 12:00:00,0.428,261000.0
Cornwall,14870,2024-01-04,13:00,2024-01-04 13:00:00,0.417,261000.0
Cornwall,14870,2024-01-04,14:00,2024-01-04 14:00:00,0.39,261000.0
Cornwall,14870,2024-01-04,15:00,2024-01-04 15:00:00,0.382,261000.0
Cornwall,14870,2024-01-04,16:00,2024-01-04 16:00:00,0.385,261000.0
Cornwall,14870,2024-01-04,17:00,2024-01-04 17:00:00,0.407,261000.0
Cornwall,14870,2024-01-04,18:00,2024-01-04 18:00:00,0.433,261000.0
Cornwall,14870,2024-01-04,19:00,2024-01-04 19:00:00,0.439,261000.0
Cornwall,14870,2024-01-04,20:00,2024-01-04 20:00:00,0.443,261000.0
Cornwall,14870,2024-01-04,21:00,2024-01-04 21:00:00,0.443,261000.0
Cornwall,14870,2024-01-04,22:00,2024-01-04 22:00:00,0.442,261000.0
Cornwall,14870,2024-01-04,23:00,2024-01-04 23:00:00,0.447,261000.0
Cornwall,14870,2024-01-05,00:00,2024-01-05 00:00:00,0.438,261000.0
Cornwall,14870,2024-01-05,01:00,2024-01-05 01:00:00,0.398,261000.0
Cornwall,14870,2024-01-05,02:00,2024-01-05 02:00:00,0.406,261000.0
Cornwall,14870,2024-01-05,03:00,2024-01-05 03:00:00,0.403,261000.0
Cornwall,14870,2024-01-05,04:00,2024-01-05 04:00:00,0.403,261000.0
Cornwall,14870,2024-01-05,05:00,2024-01-05 05:00:00,0.397,261000.0
Cornwall,14870,2024-01-05,06:00,2024-01-05 06:00:00,0.391,261000.0
Cornwall,14870,2024-01-05,07:00,2024-01-05 07:00:00,0.4,261000.0
Cornwall,14870,2024-01-05,08:00,2024-01-05 08:00:00,0.419,261000.0
Cornwall,14870,2024-01-05,09:00,2024-01-05 09:00:00,0.427,261000.0
Cornwall,14870,2024-01-05,10:00,2024-01-05 10:00:00,0.424,261000.0
Cornwall,14870,2024-01-05,11:00,2024-01-05 11:00:00,0.429,261000.0
Cornwall,14870,2024-01-05,12:00,2024-01-05 12:00:00,0.426,261000.0
Cornwall,14870,2024-01-05,13:00,2024-01-05 13:00:00,0.422,261000.0
Cornwall,14870,2024-01-05,14:00,2024-01-05 14:00:00,0.417,261000.0
Cornwall,14870,2024-01-05,15:00,2024-01-05 15:00:00,0.408,261000.0
Cornwall,14870,2024-01-05,16:00,2024-01-05 16:00:00,0.402,261000.0
Cornwall,14870,2024-01-05,17:00,2024-01-05 17:00:00,0.403,261000.0
Cornwall,14870,2024-01-05,18:00,2024-01-05 18:00:00,0.398,261000.0
Cornwall,14870,2024-01-05,19:00,2024-01-05 19:00:00,0.377,261000.0
